hackerrank_title,hackerrank_difficulty,hackerrank_access,mapping_quality,derived_statement,leetcode_title,leetcode_slug,leetcode_link,pattern
Biological Hazards,Hard,full,medium,Count contiguous intervals that avoid toxic vulnerable pairs.,Count Subarrays With Fixed Bounds,count-subarrays-with-fixed-bounds,https://leetcode.com/problems/count-subarrays-with-fixed-bounds/,Sliding Window
Vowel Substring,Hard,full,high,Track vowel state across substrings using parity or dynamic programming.,Find the Longest Substring Containing Vowels in Even Counts,find-the-longest-substring-containing-vowels-in-even-counts,https://leetcode.com/problems/find-the-longest-substring-containing-vowels-in-even-counts/,Dynamic Programming
Minimum Sum,Medium,preview-public,high,Repeatedly reduce the current maximum to minimize total sum after k operations.,Remove Stones to Minimize the Total,remove-stones-to-minimize-the-total,https://leetcode.com/problems/remove-stones-to-minimize-the-total/,Heap / Priority Queue
Work Schedule,Medium,preview,low,Build or validate a constrained work schedule under local transition rules.,Task Scheduler,task-scheduler,https://leetcode.com/problems/task-scheduler/,Greedy
Digit Sum,Hard,preview,medium,Use digit DP to count or optimize values under digit sum constraints.,Count of Integers,count-of-integers,https://leetcode.com/problems/count-of-integers/,Dynamic Programming
Finding the Most Frequent Attributes Set in a Census Dataset,Medium,full,medium,Find the most frequent normalized attribute set in a dataset.,Most Common Word,most-common-word,https://leetcode.com/problems/most-common-word/,Hash Map
Similar Numbers,Medium,preview,medium,Normalize numbers by a similarity rule and group equivalent values.,Group Anagrams,group-anagrams,https://leetcode.com/problems/group-anagrams/,Hash Map
Long Encoded String,Medium,preview,high,Decode or index into an encoded string without expanding it fully.,Decoded String at Index,decoded-string-at-index,https://leetcode.com/problems/decoded-string-at-index/,Strings
Counting Binary Substrings,Medium,preview,high,Count binary substrings formed by equal sized adjacent groups.,Count Binary Substrings,count-binary-substrings,https://leetcode.com/problems/count-binary-substrings/,Strings
Good Binary Strings,Medium,preview,high,Count binary strings that satisfy construction constraints.,Count Ways To Build Good Strings,count-ways-to-build-good-strings,https://leetcode.com/problems/count-ways-to-build-good-strings/,Dynamic Programming
Chris Navigates a Maze,Hard,preview,high,Find the shortest feasible path through a maze with BFS.,Nearest Exit from Entrance in Maze,nearest-exit-from-entrance-in-maze,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze/,Graphs
Modulo Arithmetic Equation,Hard,preview,medium,Solve a modular arithmetic equation under number theory constraints.,Nth Magical Number,nth-magical-number,https://leetcode.com/problems/nth-magical-number/,Math
String Practice,Medium,preview,low,Solve a medium string DP transformation problem.,Longest Common Subsequence,longest-common-subsequence,https://leetcode.com/problems/longest-common-subsequence/,Dynamic Programming
