day,date,concept,core_q1,core_q2,stretch_q,status,coding_score_10,design_score_10,build_done,leadership_done,total_minutes,mistake_tags,reattempt_date,notes
1,2026-02-18,Arrays+HashMap,1 Two Sum,217 Contains Duplicate,242 Valid Anagram,NOT_STARTED,,,,,,,
2,2026-02-19,Arrays+HashMap,49 Group Anagrams,128 Longest Consecutive,347 Top K Frequent,NOT_STARTED,,,,,,,
3,2026-02-20,SlidingWindow+TwoPointers,121 Best Time to Buy and Sell Stock,424 Longest Repeating Character Replacement,567 Permutation in String,NOT_STARTED,,,,,,,
4,2026-02-21,SlidingWindow+TwoPointers,11 Container With Most Water,15 3Sum,42 Trapping Rain Water,NOT_STARTED,,,,,,,
5,2026-02-22,PrefixSum,560 Subarray Sum Equals K,525 Contiguous Array,238 Product of Array Except Self,NOT_STARTED,,,,,,,
6,2026-02-23,PrefixSum,209 Minimum Size Subarray Sum,974 Subarray Sums Divisible by K,930 Binary Subarrays With Sum,NOT_STARTED,,,,,,,
7,2026-02-24,Intervals+Greedy,56 Merge Intervals,57 Insert Interval,435 Non-overlapping Intervals,NOT_STARTED,,,,,,,
8,2026-02-25,Intervals+Greedy,452 Minimum Number of Arrows,763 Partition Labels,621 Task Scheduler,NOT_STARTED,,,,,,,
9,2026-02-26,Heap,215 Kth Largest Element,973 K Closest Points,703 Kth Largest in a Stream,NOT_STARTED,,,,,,,
10,2026-02-27,Heap,23 Merge K Sorted Lists,295 Find Median from Data Stream,2402 Meeting Rooms III,NOT_STARTED,,,,,,,
11,2026-02-28,BinarySearch,704 Binary Search,33 Search in Rotated Sorted Array,153 Find Minimum in Rotated Sorted Array,NOT_STARTED,,,,,,,
12,2026-03-01,BinarySearch,875 Koko Eating Bananas,1011 Capacity To Ship Packages,410 Split Array Largest Sum,NOT_STARTED,,,,,,,
13,2026-03-02,Stack,20 Valid Parentheses,155 Min Stack,739 Daily Temperatures,NOT_STARTED,,,,,,,
14,2026-03-03,Stack,84 Largest Rectangle in Histogram,853 Car Fleet,394 Decode String,NOT_STARTED,,,,,,,
15,2026-03-04,LinkedList,206 Reverse Linked List,141 Linked List Cycle,21 Merge Two Sorted Lists,NOT_STARTED,,,,,,,
16,2026-03-05,LinkedList,143 Reorder List,19 Remove Nth Node,138 Copy List with Random Pointer,NOT_STARTED,,,,,,,
17,2026-03-06,Trees+BST,102 Binary Tree Level Order,226 Invert Binary Tree,98 Validate BST,NOT_STARTED,,,,,,,
18,2026-03-07,Trees+BST,543 Diameter of Binary Tree,236 Lowest Common Ancestor,297 Serialize and Deserialize Binary Tree,NOT_STARTED,,,,,,,
19,2026-03-08,Trie+Strings,208 Implement Trie,211 Add and Search Words,14 Longest Common Prefix,NOT_STARTED,,,,,,,
20,2026-03-09,Trie+Strings,139 Word Break,5 Longest Palindromic Substring,438 Find All Anagrams in a String,NOT_STARTED,,,,,,,
21,2026-03-10,Graph BFS+DFS,200 Number of Islands,133 Clone Graph,417 Pacific Atlantic Water Flow,NOT_STARTED,,,,,,,
22,2026-03-11,Graph BFS+DFS,994 Rotting Oranges,1091 Shortest Path in Binary Matrix,752 Open the Lock,NOT_STARTED,,,,,,,
23,2026-03-12,TopologicalSort,207 Course Schedule,210 Course Schedule II,802 Find Eventual Safe States,NOT_STARTED,,,,,,,
24,2026-03-13,TopologicalSort,310 Minimum Height Trees,1203 Sort Items by Groups and Dependencies,269 Alien Dictionary,NOT_STARTED,,,,,,,
25,2026-03-14,ShortestPath,743 Network Delay Time,787 Cheapest Flights Within K Stops,1631 Path With Minimum Effort,NOT_STARTED,,,,,,,
26,2026-03-15,ShortestPath,1368 Minimum Cost to Make At Least One Valid Path,778 Swim in Rising Water,1293 Shortest Path in Grid with Obstacles Elimination,NOT_STARTED,,,,,,,
27,2026-03-16,UnionFind+MST,547 Number of Provinces,684 Redundant Connection,721 Accounts Merge,NOT_STARTED,,,,,,,
28,2026-03-17,UnionFind+MST,1584 Min Cost to Connect All Points,947 Most Stones Removed,1202 Smallest String With Swaps,NOT_STARTED,,,,,,,
29,2026-03-18,Backtracking,78 Subsets,39 Combination Sum,79 Word Search,NOT_STARTED,,,,,,,
30,2026-03-19,Backtracking,46 Permutations,131 Palindrome Partitioning,17 Letter Combinations of a Phone Number,NOT_STARTED,,,,,,,
31,2026-03-20,DP Core,198 House Robber,70 Climbing Stairs,322 Coin Change,NOT_STARTED,,,,,,,
32,2026-03-21,DP Core,300 Longest Increasing Subsequence,152 Maximum Product Subarray,91 Decode Ways,NOT_STARTED,,,,,,,
